"tract","Name","Household_Income_rP_gP_p75"
36059409400,"Wantagh, NY",65046
36081071305,"Queens County, NY",65043
36059517302,"Glen Cove, NY",65043
36059521100,"Massapequa, NY",65011
36081074100,"Queens County, NY",64993
36081113900,"Queens County, NY",64991
36103147402,"Islip, NY",64958
36059408900,"Levittown, NY",64947
36103110600,"Northport, NY",64945
36047065200,"Kings County, NY",64923
36103135205,"Commack, NY",64922
36081161700,"Queens County, NY",64898
36081030902,"Queens County, NY",64886
36081063500,"Queens County, NY",64835
36081155102,"Queens County, NY",64821
36081120700,"Queens County, NY",64774
36047054400,"Kings County, NY",64763
36059301300,"Port Washington, NY",64730
36047040600,"Kings County, NY",64696
36047034800,"Kings County, NY",64693
36081083700,"Queens County, NY",64684
36047057500,"Kings County, NY",64666
36061010601,"Midtown, New York, NY",64659
36103146103,"Bay Shore, NY",64615
36059414900,"North Bellmore, NY",64600
36081115100,"Queens County, NY",64599
36047043400,"Kings County, NY",64589
36081058700,"Queens County, NY",64588
36103110803,"Northport, NY",64577
36081075701,"Queens County, NY",64575
36081073100,"Queens County, NY",64559
36059413001,"Oceanside, NY",64549
36059410400,"Valley Stream, NY",64461
36103111701,"East Northport, NY",64457
36005030701,"Bronx County, NY",64436
36081071900,"Queens County, NY",64429
36059413600,"Baldwin, NY",64407
36047025400,"Kings County, NY",64403
36081091900,"Queens County, NY",64387
36081140901,"Queens County, NY",64383
36103147003,"Bay Shore, NY",64376
36047074400,"Kings County, NY",64312
36081001200,"Queens County, NY",64308
36005027402,"Bronx County, NY",64284
36061016001,"Upper East Side, New York, NY",64275
36103112104,"Dix Hills, NY",64261
36119005902,"New Rochelle, NY",64252
36061005700,"Lower Manhattan, New York, NY",64245
36047045200,"Kings County, NY",64236
36047048100,"Kings County, NY",64221
36047035400,"Kings County, NY",64161
36081047100,"Queens County, NY",64151
36119001301,"Park Hill, Yonkers, NY",64129
34003006202,"Cliffside Park, NJ",64109
36059517102,"Glen Cove, NY",64050
34003003100,"Bergenfield, NJ",64046
36059410000,"Valley Stream, NY",64027
36061011800,"Lenox Hill, New York, NY",64018
36047056900,"Kings County, NY",63945
36081071701,"Queens County, NY",63925
36059519300,"Hicksville, Hicksville, NY",63850
36081118100,"Queens County, NY",63839
36005025600,"Bronx County, NY",63836
36059407700,"Westbury, NY",63830
36047016500,"Kings County, NY",63799
36047074600,"Kings County, NY",63789
36061011100,"Midtown, New York, NY",63762
36081093900,"Queens County, NY",63720
36061006800,"Kips Bay, New York, NY",63694
36081084601,"Queens County, NY",63689
36119000801,"Northwest Yonkers, Yonkers, NY",63609
36059408800,"Levittown, NY",63607
36005031200,"Bronx County, NY",63558
36119005400,"Pelham, Village of Pelham, NY",63530
36047064800,"Kings County, NY",63528
36103122602,"Deer Park, NY",63516
36047036600,"Kings County, NY",63503
36081048000,"Queens County, NY",63460
36059520200,"Bethpage, NY",63454
36047057100,"Kings County, NY",63388
36081004001,"Queens County, NY",63373
36119001502,"Southeast Yonkers, Yonkers, NY",63372
36061015001,"Upper East Side, New York, NY",63321
36103135204,"Smithtown, NY",63266
36081069701,"Queens County, NY",63264
36059411600,"Lawrence, NY",63247
36061012800,"Lenox Hill, New York, NY",63235
36047055600,"Kings County, NY",63203
36059410500,"Valley Stream, NY",63194
36047048000,"Kings County, NY",63189
34003041200,"Palisades Park, NJ",63159
36103122901,"West Babylon, NY",63133
36005013800,"Bronx County, NY",63116
36081010300,"Queens County, NY",63102
36047024600,"Kings County, NY",63077
36119006900,"Larchmont, NY",63072
36081001600,"Queens County, NY",63067
36059415000,"Merrick, NY",63046
36119007500,"Rye, NY",63035
36047069602,"Kings County, NY",63023
36081063900,"Queens County, NY",63020
36081147100,"Queens County, NY",63017
36103134702,"Kings Park, NY",62991
36005025400,"Bronx County, NY",62983
36059406100,"West Hempstead, NY",62970
36061005400,"Midtown, New York, NY",62949
36059412301,"Rockville Centre, NY",62946
36119006700,"New Rochelle, NY",62945
36005031600,"Bronx County, NY",62902
36081011200,"Queens County, NY",62884
36081026300,"Queens County, NY",62859
36005051600,"Bronx County, NY",62805
36081025700,"Queens County, NY",62798
